820207003500,青森県岩木川水系　十川,あおもりけんいわきがわすいけいとがわ
820207006101,青森県岩木川水系　平川上流,あおもりけんいわきがわすいけいひらかわじょうりゅう
820207006102,平川下流,ひらかわかりゅう
820208000100,米代川,よねしろがわ
820209000101,雄物川上流,おものがわじょうりゅう
820209000102,雄物川下流,おものがわかりゅう
820209000400,太平川,たいへいがわ
820209005500,玉川,たまがわ
820209018700,皆瀬川,みなせがわ
820210000100,子吉川,こよしがわ
820211000101,最上川上流,もがみがわじょうりゅう
820211000102,最上川下流,もがみがわかりゅう
820211000103,最上川中流,もがみがわちゅうりゅう
820211007300,鮭川,さけがわ
820211017000,最上小国川,もがみおぐにがわ
820211022100,丹生川,にゅうがわ
820211030701,須川上流,すかわじょうりゅう
820211030702,須川下流,すかわかりゅう
820211048700,屋代川,やしろがわ
820212000100,赤川,あかがわ
820212000200,大山川,おおやまがわ
830301000100,久慈川,くじがわ
830302000100,那珂川,なかがわ
830302000101,那珂川上流部,なかがわじょうりゅうぶ
830302008300,逆川,さかがわ
830302009400,荒川,あらかわ
830302014300,箒川,ほうきがわ
830302014700,蛇尾川,さびがわ
830302018300,余笹川,よささがわ
830303000101,利根川上流部,とねがわじょうりゅうぶ
830303000102,利根川下流部,とねがわかりゅうぶ
830303000103,利根川中流部,とねがわちゅうりゅうぶ
830303002800,霞ヶ浦・北浦,かすみがうらきたうら
830303004600,利根川水系桜川,とねがわすいけいさくらがわ
830303015200,小貝川,こかいがわ
830303015201,小貝川上流部,こかいがわじょうりゅうぶ
830303017900,五行川,ごぎょうがわ
830303020300,鬼怒川,きぬがわ
830303021100,田川,たがわ
830303030400,江戸川,えどがわ
830303033900,中川,なかがわ
830303033903,中川中流部,なかがわちゅうりゅうぶ
830303036900,元荒川,もとあらかわ
830303039200,新方川,にいがたがわ
830303039800,大落古利根川,おおおとしふるとねがわ
830303043600,綾瀬川（谷古宇区間）,あやせがわやこうくかん
830303043603,綾瀬川中流部（一の橋区間）,あやせがわちゅうりゅうぶいちのはしくかん
830303046101,渡良瀬川上流部,わたらせがわじょうりゅうぶ
830303046102,渡良瀬川下流部,わたらせがわかりゅうぶ
830303048000,思川,おもいがわ
830303048100,姿川,すがたがわ
830303049400,黒川,くろかわ
830303051700,永野川,ながのかわ
830303053000,秋山川,あきやまがわ
830303054800,袋川,ふくろがわ
830303060000,利根川水系石田川,とねがわすいけいいしだかわ
830303068900,烏川流域,からすがわりゅういき
830303069600,神流川,かんながわ
830304000100,荒川,あらかわ
830304000300,芝川・新芝川,しばかわしんしばかわ
830304001200,新河岸川,しんがしがわ
830304003200,石神井川,しゃくじいがわ
830304004400,神田川,かんだがわ
830304004700,妙正寺川,みょうしょうじがわ
830304004900,善福寺川,ぜんぷくじがわ
830304006403,入間川中流部,いるまがわちゅうりゅうぶ
830304007000,越辺川・都幾川・高麗川,おっぺがわ・ときがわ・こまがわ
830304007100,入間川・小畔川,いるまがわ・こあぜがわ
830305000100,多摩川,たまがわ
830305000500,野川・仙川,のがわ・せんかわ
830305002000,浅川,あさかわ
830306000100,鶴見川,つるみがわ
830307000102,相模川下流,さがみがわかりゅう
830307000103,相模川中流,さがみがわちゅうりゅう
830308000100,富士川（釜無川を含む）,ふじかわかまなしがわをふくむ
830308039500,笛吹川,ふえふきがわ
830308045500,荒川,あらかわ
830308065700,塩川,しおかわ
840401000100,荒川,あらかわ
840402000100,阿賀野川,あがのがわ
840402000101,阿賀川,あががわ
840403000100,千曲川,ちくまがわ
840403000101,信濃川水系千曲川上流,しなのがわすいけいちくまがわじょうりゅう
840403000102,信濃川下流・中ノ口川,しなのがわかりゅうなかのくちがわ
840403000103,信濃川中流,しなのがわちゅうりゅう
840403000104,信濃川水系千曲川下流,しなのがわすいけいちくまがわかりゅう
