00,緊急地震速報（予報）,主要動について、未到達と予測
01,緊急地震速報（予報）,主要動について、既に到達と予測
09,緊急地震速報（予報）,主要動の到達予想なし（PLUM法による予想）
10,緊急地震速報（警報）,主要動について、未到達と予測
11,緊急地震速報（警報）,主要動について、既に到達と予測
19,緊急地震速報（警報）,主要動の到達予想なし（PLUM法による予想）
